doc_id,category,gold_label,gold_text,gold_start,gold_end,overlapping_fp_labels,overlapping_fp_texts
5492,boundary,PER,Keller,243,249,PER,Herr Keller
5494,omission,JOB,Mitarbeiterin,327,340,,
5500,omission,JOB,Exportleiter,45,57,,
5500,boundary,MONEY,USD 850'000,236,247,MONEY,USD 850'000.
5502,boundary,ORG,Digital Ventures GmbH,76,97,ORG,Digital Ventures GmbH.
5502,omission,JOB,Office Managerin,51,67,,
5503,boundary,PER,Christoph Meier,45,60,PER,Herrn Christoph Meier
5504,omission,PER,Ziegler,269,276,,
5504,omission,ORG,Logistik Transport AG,62,83,,
5505,omission,ORG,Hoch- und Tiefbau Meier AG,40,66,,
5514,omission,PER,Graf,301,305,,
5514,omission,JOB,Managing Partner,51,67,,
5514,omission,JOB,Senior Partner,188,202,,
5529,boundary,JOB,Assistentin der Geschäftsleitung,48,80,JOB,Assistentin
5532,omission,DATE,morgen,408,414,,
5532,omission,PER,Vogel,278,283,,
5532,boundary,ORG,Pharma Solutions GmbH,91,112,ORG,Pharma Solutions GmbH.
5539,boundary,ORG,Montres Précision SA,64,84,ORG,Montres Précision
5543,boundary,PER,Urs Meier,114,123,PER,Herrn Dr. Urs Meier
5547,omission,JOB,Liquidator,46,56,,
5547,omission,PER,Vogel,480,485,,
5560,omission,ORG,Import Export Solutions AG,55,81,,
5560,label,JOB,Head of Treasury,34,50,ORG,Head of Treasury
5568,boundary,ORG,Swiss Commodity Traders Ltd.,70,98,ORG,Swiss Commodity Traders Ltd
5580,omission,MONEY,EUR,357,360,,
5580,omission,PER,Graf,193,197,,
5580,boundary,PER,Thomas Graf,49,60,PER,Herrn Thomas Graf
5580,label,JOB,Treasurer,62,71,ORG,Treasurer
5580,omission,MONEY,CHF,340,343,,
5605,omission,JOB,General Counsel,90,105,,
5605,boundary,ORG,Swiss Engineering Group Holding AG,36,70,ORG,Swiss Engineering Group
5609,label,EDU,HSG,326,329,ORG,HSG-Absolventin
5617,omission,JOB,Eigentümer,46,56,,
5617,boundary,ORG,Vogel Robotics GmbH,352,371,ORG,Vogel Robotics
5626,boundary,JOB,IT-Leiter,49,58,JOB,Leiter bei
5626,omission,JOB,Mitarbeiter,113,124,,
5630,omission,JOB,Controller,187,197,,
5633,boundary,JOB,Projektleiterin Finanzen,96,120,JOB,Projektleiterin
5637,omission,DATE,Ende Mai,424,432,,
5637,boundary,ORG,Global Trade Solutions GmbH,85,112,ORG,Global Trade Solutions
5637,label,JOB,Head of Treasury,64,80,ORG,Head of Treasury
5639,boundary,MONEY,CHF 25'000,198,208,MONEY,CHF 25'000.
5639,omission,JOB,Verkaufsleiter,179,193,,
5639,boundary,JOB,Inhaber und Geschäftsführer,23,50,JOB|JOB,Geschäftsführer|Inhaber
5640,omission,MONEY,2 Mio.,430,436,,
5640,boundary,ORG,TechSolutions Holding AG,50,74,ORG,TechSolutions
5640,omission,JOB,Mitarbeiterinnen,325,341,,
5642,boundary,JOB,Leiter International Projects,36,65,JOB,Leiter International
5642,omission,NATION,asiatischen,233,244,,
5642,omission,JOB,Werksleiter,359,370,,
5644,omission,JOB,Head of Treasury,64,80,,
5644,boundary,ORG,Global Trade Holding SA,85,108,ORG|ORG,Global Trade Holding|SA
5649,omission,JOB,Sales Director,211,225,,
5655,boundary,ORG,Swiss Logistics Solutions AG,170,198,ORG,Swiss Logistics Solutions
5672,label,AGE,48 Jahre,441,449,DATE,48 Jahre
5672,label,EDU,ETH Zürich,469,479,ORG,ETH Zürich
5675,boundary,MONEY,CHF 350'000,239,250,MONEY,CHF 350'000.
5675,boundary,DATE,Ende nächster Woche,368,387,DATE,nächster Woche
5680,boundary,ORG,Global Trade Solutions SA,82,107,ORG,Global Trade Solutions
5680,label,JOB,Head of Treasury,57,73,ORG,Head of Treasury
5681,boundary,ORG,BioVenture Labs GmbH,141,161,ORG,BioVenture Labs
5686,boundary,ORG,Digital Solutions GmbH,70,92,ORG,Digital Solutions
5691,omission,JOB,Exportleiter,389,401,,
5693,label,JOB,dipl. Bauingenieur ETH,379,401,ORG,ETH
5693,boundary,JOB,designierter CEO,112,128,JOB,CEO
5694,boundary,ORG,Logistik Express SA,109,128,ORG,Express SA
5703,boundary,ORG,Global Trade Solutions Ltd.,66,93,ORG,Global Trade Solutions Ltd
5703,omission,JOB,Treasury Manager,41,57,,
5722,boundary,ORG,Swiss Metalworks GmbH,102,123,ORG,Swiss Metalworks
5726,omission,ORG,Logistik Services GmbH,50,72,,
5728,label,LOC,EU,101,103,ORG,EU
5734,omission,PER,Fischer,244,251,,
5737,omission,JOB,Verkaufsleiter,336,350,,
5737,boundary,MONEY,CHF 20'000,397,407,MONEY,CHF 20'000.
5743,omission,PER,Schmidt,351,358,,
5743,omission,JOB,Head of Export,48,62,,
5748,boundary,PER,Fischer,495,502,PER,Herr Fischer
5754,omission,DATE,Juni,359,363,,
5756,omission,PER,Brunner,419,426,,
5756,label,JOB,ETH-Ingenieur,199,212,ORG,ETH-Ingenieur
5762,omission,JOB,Managing Partner,72,88,,
5767,omission,JOB,Office Managerin,46,62,,
5767,omission,PER,Keller,437,443,,
5767,omission,JOB,Controller,165,175,,
5773,label,JOB,Head of Treasury,53,69,ORG,Head of Treasury
5778,boundary,ORG,Innovatec Solutions GmbH,238,262,ORG,Innovatec Solutions
5790,omission,JOB,Produktionsleiter,118,135,,
5792,omission,JOB,Treasurer,47,56,,
5794,omission,PER,Keller,306,312,,
5794,boundary,JOB,IT-Leiter,50,59,JOB,Leiter der
5799,boundary,LOC,USA,244,247,LOC,den USA
5799,boundary,ORG,Swiss MedTech GmbH,96,114,ORG,Swiss MedTech GmbH.
5800,boundary,LOC,Bern,89,93,LOC,Kanton Bern
5801,label,EDU,HSG,170,173,ORG,HSG-Absolventin
5801,omission,JOB,Anwalt,478,484,,
5801,boundary,PER,Gfeller,156,163,PER,Frau Gfeller
5802,omission,JOB,Head of Export,34,48,,
5802,boundary,PER,Tanner,319,325,PER,Herrn Tanner
5802,boundary,ORG,Seoul Bank Corp.,267,283,ORG,Seoul Bank Corp
5809,boundary,ORG,Familiendruckerei Meier & Söhne AG,15,49,ORG,Meier & Söhne AG
5809,label,EDU,HSG-Absolventen,128,143,ORG,HSG-Absolventen
5811,boundary,ORG,BioGenTech GmbH,137,152,ORG,BioGenTech GmbH.
5815,boundary,ORG,TechComponents Import AG,15,39,ORG,TechComponents
5824,boundary,ORG,Helvetia Holding SA,41,60,ORG|ORG,Helvetia Holding|SA
5824,omission,JOB,Treasurer,27,36,,
5826,boundary,PER,Markus Keller,43,56,PER,Herrn Markus Keller
5826,omission,PER,Keller,310,316,,
5831,omission,ORG,Zürcher Immobilien AG,37,58,,
5844,omission,PER,Herzog,311,317,,
5852,boundary,PER,Meier,362,367,PER,Herr Meier
5854,boundary,ORG,Handelsfirma Zuber & Co. AG,15,42,ORG,Zuber & Co. AG
5854,label,JOB,HSG-Absolventin,236,251,ORG,HSG-Absolventin
5859,omission,PER,Egger,350,355,,
5859,omission,ORG,Pharma Holding AG,61,78,,
5859,boundary,NATION,schweizerisch-deutsche,360,382,NATION|NATION,schweizerisch|deutsche
5867,omission,PER,Richter,391,398,,
5870,omission,PER,Berger,245,251,,
5870,boundary,AGE,62 Jahre,333,341,AGE,62 Jahre alt
5870,label,JOB,Managing Partner,97,113,ORG,Managing Partner
5893,boundary,ORG,Swiss Exports SA,15,31,ORG,Swiss Exports
5894,omission,PER,Fischer,351,358,,
5894,boundary,ORG,Dublin Pharma Research Ltd.,141,168,ORG,Dublin Pharma Research Ltd
5896,boundary,ORG,CodeCrafters GmbH,169,186,ORG,CodeCrafters GmbH.
5896,boundary,ORG,Tech Innovators Holding AG,64,90,ORG,Tech Innovators Holding
5897,boundary,PER,Markus Keller,43,56,PER,Herrn Markus Keller
5897,omission,PER,Keller,274,280,,
5898,boundary,ORG,Global Trade Solutions SA,82,107,ORG,Global Trade Solutions
5898,label,JOB,Head of Treasury,57,73,ORG,Head of Treasury
5899,omission,JOB,Finance Managerin,159,176,,
5903,omission,PER,Schmidt,166,173,,
5905,boundary,PER,Keller,253,259,PER,Herr Keller
5905,boundary,PER,Markus Keller,43,56,PER,Herrn Markus Keller
5910,boundary,JOB,Leiter Finanzen & Administration,50,82,JOB,Leiter Finanzen
5913,boundary,ORG,LogiCore Transport AG,29,50,ORG,LogiCore
5913,omission,PER,Fischer,304,311,,
5916,boundary,LOC,USA,141,144,LOC,den USA
5917,omission,JOB,Exportrisikoversicherung,205,229,,
5919,label,JOB,VR-Mitglied,275,286,ORG,VR-Mitglied
5919,boundary,ORG,Pharma Invest Holding SA,101,125,ORG|ORG,Pharma Invest Holding|SA
5921,boundary,PER,Oliver Bachmann,31,46,PER,Herrn Oliver Bachmann
5921,omission,JOB,Managing Partner,48,64,,
5928,boundary,ORG,Innovatec Robotics SA,59,80,ORG,Robotics SA
5929,omission,JOB,Treasurer,30,39,,
5933,boundary,ORG,Global Trade Solutions SA,82,107,ORG,Global Trade Solutions
5933,label,JOB,Head of Treasury,57,73,ORG,Head of Treasury
5937,omission,DATE,Ende Juni,313,322,,
5939,omission,JOB,Managing Partner,210,226,,
5939,boundary,MONEY,CHF 50'000,269,279,MONEY,CHF 50'000.
5939,omission,JOB,Office Managerin,47,63,,
5945,omission,JOB,Gründer,107,114,,
5945,omission,ORG,PharmaTech Innovations AG,61,86,,
5947,boundary,MONEY,CHF 100'000,202,213,MONEY,CHF 100'000.
5947,omission,ORG,Techno Holding AG,93,110,,
5947,boundary,PER,Keller,317,323,PER,Herr Keller
5951,boundary,ORG,Global Trade Solutions SA,83,108,ORG,Global Trade Solutions
5951,label,JOB,Head of Treasury,58,74,ORG,Head of Treasury
5957,omission,PER,Vogel,478,483,,
5959,label,JOB,Head of Treasury,60,76,ORG,Head of Treasury
5959,boundary,ORG,Global Trade Solutions GmbH,85,112,ORG,Global Trade Solutions
5959,omission,NATION,asiatischen,511,522,,
5961,boundary,PER,Martin,331,337,PER,Herrn Martin
5964,omission,DATE,Ende der Woche,369,383,,
5964,label,JOB,Treasurer,53,62,ORG,Treasurer
5967,label,JOB,Head of Treasury,54,70,ORG,Head of Treasury
5969,omission,JOB,Gründer,50,57,,
5969,boundary,LOC,Waadt,89,94,LOC,Kanton Waadt
5969,omission,PER,Brunner,327,334,,
5969,boundary,EDU,HSG,174,177,EDU,HSG-Absolvent
5971,boundary,PER,Martin Keller,51,64,PER,Herrn Martin Keller
5992,boundary,JOB,Inhaber und Geschäftsführer,98,125,JOB|JOB,Inhaber|Geschäftsführer
5992,boundary,LOC,Thurgau,263,270,LOC,Kanton Thurgau
6002,boundary,PER,Peter Müller,210,222,PER,Herrn Peter Müller
6003,omission,JOB,Verkaufsleiter,271,285,,
6007,label,EDU,ETH-Ingenieur,410,423,ORG,ETH-Ingenieur
6007,boundary,ORG,Tech Innovate Holding AG,67,91,ORG,Tech Innovate Holding
6028,boundary,MONEY,EUR 850'000,201,212,MONEY,EUR 850'000.
6034,omission,PER,Zürcher,370,377,,
6037,label,JOB,ETH-Absolventin,109,124,EDU,ETH-Absolventin
6042,label,EDU,EPFL,64,68,ORG,EPFL
6052,label,JOB,Head of Operations,45,63,ORG,Head of Operations
6052,omission,PER,Graf,224,228,,
6052,label,EDU,HSG-Absolventin,235,250,ORG,HSG-Absolventin
6079,omission,JOB,FX-Spezialisten,254,269,,
6079,boundary,ORG,Global Trade Solutions SA,58,83,ORG,Global Trade Solutions
6101,boundary,MONEY,CHF 500'000,232,243,MONEY,"CHF 500'000,"
6105,boundary,MONEY,EUR 750'000,227,238,MONEY,EUR 750'000.
6105,label,JOB,HSG-Absolvent,258,271,EDU,HSG-Absolvent
6105,label,AGE,45 Jahre,277,285,DATE,45 Jahre
6114,omission,JOB,Mitarbeiter,320,331,,
6114,label,AGE,58 Jahre,94,102,DATE,58 Jahre
6118,label,JOB,VR-Präsident,119,131,ORG,VR-Präsident
6118,boundary,ORG,Tech Invest Holding AG,4,26,ORG,Tech Invest Holding
6124,boundary,ORG,Swiss IT Solutions GmbH,57,80,ORG,Swiss IT Solutions
6130,omission,PER,Fischer,421,428,,
6136,omission,JOB,Verwaltungsrätin,89,105,,
6138,boundary,PER,Klaus Berger,87,99,PER,Herrn Klaus Berger
6138,label,JOB,Betriebsökonomin FH,296,315,ORG,Betriebsökonomin FH
6144,boundary,MONEY,CHF 500'000,226,237,MONEY,CHF 500'000.
6144,boundary,ORG,PharmaCorp Holding SA,56,77,ORG|ORG,SA|PharmaCorp
6146,omission,ORG,Codex Software GmbH,29,48,,
6147,label,JOB,ETH-Ingenieur,311,324,ORG,ETH-Ingenieur
6156,boundary,AGE,38,130,132,AGE,38 Jahre alt
6156,boundary,EDU,HSG-Abschluss,151,164,EDU,HSG
6164,boundary,ORG,MedPharma Solutions GmbH,54,78,ORG,MedPharma Solutions
6166,omission,JOB,Verwaltungsratspräsidenten,16,42,,
6166,boundary,DATE,Ende Juni 2024,224,238,DATE,Juni 2024
6166,label,ORG,Berlin Mode GmbH,287,303,LOC,Berlin
6188,label,EDU,HSG-Absolventin,85,100,ORG,HSG-Absolventin
6193,boundary,ORG,Digital Solutions GmbH,50,72,ORG,Digital Solutions GmbH i.L.
6195,boundary,MONEY,EUR 850'000,164,175,MONEY,EUR 850'000.
6201,omission,JOB,Managing Director,87,104,,
6202,omission,JOB,Stiftungsratspräsident,32,54,,
6205,boundary,PER,Baumann,324,331,PER,Herr Baumann
6211,boundary,AGE,58,363,365,AGE,58 Jahre alt
6214,boundary,PER,Markus Keller,18,31,PER,Herrn Markus Keller
6215,boundary,ORG,Familienbäckerei Huber GmbH,42,69,ORG,Huber GmbH
6215,label,EDU,HSG,133,136,ORG,HSG-Absolventin
6218,boundary,MONEY,USD 800'000,142,153,MONEY,USD 800'000.
6219,omission,PER,Schmid,306,312,,
6223,boundary,PER,Meier,421,426,PER,Frau Meier
6225,boundary,MONEY,CHF 5'000,199,208,MONEY,CHF 5'000.
6225,omission,JOB,Mitarbeiter,102,113,,
6238,boundary,ORG,Projektgesellschaft Windpark GmbH,36,69,ORG,Projektgesellschaft Windpark
6238,boundary,ORG,Energie Holding AG,140,158,ORG,Energie Holding
6242,omission,JOB,Betriebsökonom FH,156,173,,
6242,boundary,ORG,Baumann Transport GmbH,40,62,ORG,Baumann
6242,omission,AGE,65,83,85,,
6245,omission,ORG,Energie Werke Luzern AG,46,69,,
6245,label,JOB,ETH-Ingenieur,231,244,ORG,ETH-Ingenieur
6246,label,EDU,Universität St. Gallen (HSG),210,238,ORG|ORG,Universität St. Gallen|HSG
6253,omission,DATE,Freitag,220,227,,
6253,omission,JOB,TEF-Spezialisten,275,291,,
6253,boundary,MONEY,USD 750'000,171,182,MONEY,USD 750'000.
6253,omission,ORG,Import Export Trading Ltd.,40,66,,
6257,boundary,PER,Baumann,266,273,PER,Herrn Baumann
6263,boundary,MONEY,EUR 75'000,260,270,MONEY,EUR 75'000.
6265,boundary,DATE,Ende nächster Woche,184,203,DATE,nächster Woche
6280,omission,JOB,Controller,127,137,,
6292,boundary,LOC,Zug,106,109,LOC,Kanton Zug
6300,omission,JOB,Alleininhaber,22,35,,
6300,boundary,AGE,58 Jahre,111,119,AGE,58 Jahre alt
6300,omission,PER,Fischer,281,288,,
6300,omission,JOB,Anwalt,269,275,,
6304,boundary,MONEY,EUR 850'000,204,215,MONEY,EUR 850'000.
6304,boundary,ORG,Milano Meccanica S.p.A.,241,264,ORG,Milano Meccanica S.p
6304,omission,DATE,Freitag,314,321,,
6317,omission,JOB,VR-Präsident,91,103,,
6319,boundary,LOC,Aargau,339,345,LOC,Kanton Aargau
6319,boundary,MONEY,CHF 450'000,154,165,MONEY,CHF 450'000.
6323,omission,ORG,Import Export Welt AG,40,61,,
6323,boundary,ORG,Lisboa Trading Lda.,188,207,ORG,Lisboa Trading Lda
6340,boundary,MONEY,CHF 100'000,166,177,MONEY,CHF 100'000.
6340,boundary,ORG,Mode Suisse SA,29,43,ORG,Suisse SA
6342,boundary,MONEY,USD 200'000,196,207,MONEY,USD 200'000.
6342,label,JOB,Leiterin Treasury,27,44,ORG,Treasury
6349,label,JOB,Sohn,124,128,PER,Sohn
6350,boundary,MONEY,CHF 100'000,248,259,MONEY,CHF 100'000.
6350,omission,JOB,Prokuristin,22,33,,
6351,omission,JOB,Wirtschaftsprüfer,303,320,,
6352,boundary,ORG,Global Chemical Corp.,40,61,ORG,Global Chemical Corp
6354,boundary,ORG,Kaufmann Transport GmbH,37,60,ORG,Kaufmann Transport
6371,boundary,MONEY,CHF 850'000,373,384,MONEY,CHF 850'000.
6371,label,EDU,Holzbau-Ingenieur FH,290,310,ORG,Holzbau-Ingenieur FH
6378,omission,MONEY,CHF,151,154,,
6378,label,JOB,Head of Treasury,34,50,ORG,Head of Treasury
6378,boundary,PER,Baker,333,338,PER,Herrn Baker
6384,boundary,ORG,Baumann Logistik AG,4,23,ORG,Baumann
6391,label,JOB,Office Managerin,29,45,ORG,Office
6397,boundary,PER,Christoph Berger,72,88,PER,Dr. Christoph Berger
6402,boundary,MONEY,CHF 20'000,242,252,MONEY,CHF 20'000.
6402,omission,JOB,Verkaufsleiter,149,163,,
6402,boundary,JOB,Assistentin der Geschäftsleitung,20,52,JOB,Assistentin
6403,omission,ORG,Feinmechanik GmbH,309,326,,
6405,boundary,ORG,Innovatech Solutions GmbH,64,89,ORG,Innovatech Solutions GmbH.
6405,omission,JOB,Office Manager,41,55,,
6405,omission,JOB,Softwareentwickler,100,118,,
6421,omission,PER,Schmidt,327,334,,
6421,boundary,PER,Peter Keller,22,34,PER,Herrn Peter Keller
6431,boundary,MONEY,EUR 1'245.50,338,350,MONEY,EUR 1'245.50.
6431,label,MONEY,EUR,296,299,ORG,EUR-Kontos
6431,omission,ORG,IT-Consulting Frischknecht GmbH,43,74,,
6431,omission,JOB,Partner,129,136,,
6432,omission,JOB,VR-Präsident,48,60,,
6432,boundary,ORG,Innovation Holding SA,65,86,ORG,SA
6433,boundary,PER,Huber,351,356,PER,Herrn Huber
6434,boundary,MONEY,CHF 150'000,202,213,MONEY,CHF 150'000.
6434,boundary,MONEY,CHF 60'000,294,304,MONEY,CHF 60'000.
6438,boundary,ORG,Swiss Food Solutions SA,29,52,ORG,Swiss Food Solutions
6438,omission,JOB,Produktionsleiter,70,87,,
6438,omission,JOB,Finanzchef,146,156,,
6441,boundary,ORG,Alpin Chemie Holding AG,46,69,ORG,Alpin Chemie Holding
6441,label,JOB,VRP,89,92,ORG,VRP
6441,label,JOB,HSG-Absolventin,216,231,ORG,HSG-Absolventin
6442,boundary,PER,Peter Graf,10,20,PER,Peter Graf von der Digital Solutions AG
6442,boundary,JOB,designierte Geschäftsführer,266,293,JOB,Geschäftsführer
6442,label,ORG,Digital Solutions AG,29,49,PER,Peter Graf von der Digital Solutions AG
6452,boundary,ORG,Immobilien AG Zürich,242,262,ORG,AG Zürich
6452,boundary,MONEY,CHF 250'000,269,280,MONEY,CHF 250'000.
6452,boundary,ORG,Immobilien AG Zürich,380,400,ORG,AG Zürich
6456,label,JOB,Treasurer,4,13,ORG,Treasurer
6457,boundary,ORG,Metzgerei Brunner & Sohn AG,22,49,ORG,Brunner & Sohn AG
6457,label,EDU,dipl. Fleischsommelier,152,174,PER,Fleischsommelier
6462,omission,DATE,Ende dieser Woche,271,288,,
6479,boundary,ORG,Creative Design GmbH,39,59,ORG,Creative Design GmbH.
6479,boundary,MONEY,CHF 15'000,322,332,MONEY,CHF 15'000.
6481,boundary,ORG,Leman Ventures SA,47,64,ORG|ORG,SA|Leman Ventures
6494,boundary,ORG,Global Trade Partners GmbH,54,80,ORG,Global Trade Partners
6494,omission,JOB,Head of Treasury,36,52,,
6509,boundary,PER,Baker,268,273,PER,Herrn Baker
6510,omission,JOB,Finanzchefin,32,44,,
6512,boundary,ORG,PharmaChem Logistics SA,60,83,ORG,Logistics SA
6513,boundary,EDU,ETH-Architektin,199,214,EDU,ETH
6521,boundary,JOB,Sachbearbeiter Buchhaltung,194,220,JOB,Sachbearbeiter
6523,boundary,ORG,PharmaChem International SA,43,70,ORG,International SA
6533,boundary,ORG,Pharma Generica Holding AG,46,72,ORG,Pharma Generica Holding
6533,label,JOB,VRP,87,90,ORG,VRP
6533,boundary,JOB,M&A-Berater,281,292,JOB,Berater
6534,boundary,ORG,Transport & Logistik Meier GmbH,4,35,ORG,Transport & Logistik Meier
6536,boundary,AGE,45 Jahre,232,240,AGE,45 Jahre alt
